Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Americas,Caribbean & Central,Dominican Republic,5.02,5.13,6.5,6,4,5,4,4.5,6.5,8,5.5,4.5,3.5,5,5.5,4.5,4,4.9,5,5.5,5.5,4,4.5,4.79,5,3,7.5,5,4,5,5.5,4,5,4,4.5,5
Americas,South America,Bolivia,4.95,5,5,4,5,7.5,6,8,2,8.5,2.5,2,4.5,5,5,7,3,4.9,4,4.5,6,5,5,4.83,5,4,5,6,3,4.5,4.5,4.5,5.5,5,6,5
Americas,South America,Ecuador,7.07,6.73,6.5,6,8,7,7,7.5,6.5,8.5,5.5,5.5,6.5,6.5,6,6,8,7.4,8,7.5,7,8,6.5,4.88,4.5,5.5,6,5,4,4,3.5,5.5,5,5.5,4.5,5.5
Europe,Central & Eastern Europe,Hungary,4.62,4.73,6.5,6.5,4.5,4,4,3.5,5,5,5.5,6,5,5.5,4,4,2,4.5,1,4,7,5.5,5,4.88,4.5,3.5,4.5,5,5,5,6.5,5.5,4.5,4.5,6,4
Americas,South America,Brazil,6.77,6.93,6,5.5,8.5,8.5,8.5,8.5,2.5,9,8.5,4.5,8,7,7,5,7,6.6,8,7,8.5,3.5,6,4.92,3,4.5,7.5,4.5,3,4.5,5.5,6,5.5,5,4,6
Africa,Central Africa,Sao Tome and Principe,1.7,1.7,1.5,1,1.5,2.5,2,1,2,2,2.5,1.5,1,3,1.5,1.5,1,1.7,1,1.5,3,2,1,4.92,6,5,7,7,6,5,5,3,3,4,3,5
Europe,Central & Eastern Europe,Serbia,6.22,5.73,6,6.5,6.5,5,5,5,7,6,6,6,5,7,4.5,5,5.5,6.7,6,7,8,6.5,6,4.96,4.5,4,6.5,5,5,5,6,5.5,5,4,5.5,3.5
Americas,Caribbean & Central,"St, Kitts and Nevis",3.52,2.83,3,2.5,4.5,1.5,2,2,1,7,7,1,1.5,4.5,2,2,1,4.2,1,6,6.5,5.5,2,5,6,5,6,6.5,7,4.5,6,5.5,2,2.5,4,5
Oceania,Micronesia,Nauru,2.05,2.2,1.5,1.5,1,1,3.5,3.5,1.5,1.5,1.5,1.5,2.5,3,4.5,4,1,1.9,1,1.5,3.5,2.5,1,5,5,5,6,7.5,6.5,5.5,7.5,7,3.5,2,1,3.5
Oceania,Melanesia,Solomon Islands,4.4,3.7,4.5,2,3,8,7.5,3.5,1,2.5,3.5,1.5,1.5,7,4,4,2,5.1,1,4.5,7,6.5,6.5,5.08,4.5,4.5,5,4.5,5.5,6,5,5,4.5,4.5,7,5
Asia,Western Asia,United Arab Emirates,6.37,7.03,8.5,6.5,7,5.5,7.5,7.5,7,6.5,6.5,8,8,9.5,7,5.5,5,5.7,1,6.5,6.5,7,7.5,5.13,5,4.5,5,5.5,5.5,6,5.5,3.5,5.5,6,6.5,3
Africa,West Africa,Côte d'Ivoire,6.02,5.93,7,6.5,7,6,6.5,6,4,5.5,6.5,6,5.5,6.5,7,3.5,5.5,6.1,3.5,7,7.5,7.5,5,5.13,5.5,4.5,6,5,5,5.5,5,5,5,4.5,5.5,5
Europe,Central & Eastern Europe,Albania,5.17,4.83,5,6,4.5,4.5,3.5,5,6,6.5,6.5,3.5,6,6,3,3,3.5,5.5,6.5,7,6.5,3,4.5,5.13,5,4.5,7,6,6,5,5.5,4,4,4.5,5,5
Europe,Southern Europe,Malta,5,4.3,5,3.5,3,1,5,4.5,3,5.5,4.5,5,5.5,8,4,4,3,5.7,3,7,7.5,5,6,5.13,4.5,4,7.5,6,4.5,4.5,4.5,4.5,6.5,7,4,4
Americas,Caribbean & Central,Grenada,2.93,2.67,2,2.5,3,2,2.5,3.5,1,6,7,1.5,3,3,1,1,1,3.2,2,3,3.5,4,3.5,5.13,5.5,5,6,5.5,4.5,6.5,6,5,6,3,4,4.5
Oceania,Melanesia,Vanuatu,2.43,2.67,3.5,1.5,1.5,3.5,6,1.5,1,2.5,3.5,2,2.5,3.5,4,2.5,1,2.2,1,1.5,3,4,1.5,5.13,5,5.5,5.5,6.5,7,6.5,4,3,4,5,3.5,6
Europe,Southern Europe,Greece,5.35,4.7,5.5,8,3.5,2,2.5,3,6,5,5.5,3.5,3.5,6.5,5,5.5,5.5,6,3.5,6.5,7.5,6,6.5,5.17,5,5,7,6,4.5,5,5.5,5.5,5.5,4,5,4
Africa,West Africa,Gambia,4.53,4.67,6,5,2.5,7,4,4.5,4.5,7,7,4,3,5.5,6.5,2.5,1,4.4,1,6.5,6.5,4,4,5.17,5.5,5,5.5,5,4.5,5,6.5,5.5,5.5,3.5,4,6.5
Americas,Caribbean & Central,Dominica,2.63,2.67,3,2.5,5,1,1.5,1,1,6,6,2.5,3,4,1,1.5,1,2.6,1,5,2,2.5,2.5,5.17,3.5,4,6.5,5,4.5,6,6,5.5,5,5,6,5
Asia,Western Asia,Oman,4.4,4.9,7,5,5,5,5.5,5,5.5,3,4.5,6.5,4.5,6.5,4.5,3.5,2.5,3.9,1,5,4,4,5.5,5.21,4.5,4.5,6.5,6.5,5,7,5.5,5,4.5,4.5,4.5,4.5
Asia,Eastern Asia,Mongolia,4.12,3.83,5,3,3,5.5,4.5,5,2,2,3.5,5.5,6,5,3.5,2,2,4.4,2,4.5,5,5.5,5,5.21,5,5,6.5,6.5,4.5,5,5.5,4.5,3.5,4.5,6.5,5.5
Africa,Southern Africa,Seychelles,3.9,3.5,4,3.5,3.5,4,4.5,1,8,4.5,3.5,3,2.5,4.5,3,2,1,4.3,2,5,5.5,5,4,5.21,5,5.5,6.5,5.5,6,5,5,4.5,4.5,4.5,5,5.5
Europe,Southern Europe,San Marino,3.48,2.37,2,1.5,2.5,1,1.5,1.5,2,4,2.5,1.5,2,7.5,3,1,2,4.6,2,4,5,6.5,5.5,5.21,4,4,6,5.5,6.5,5,6,4.5,5.5,5.5,4.5,5.5
Asia,Central Asia and the Caucasus,Georgia,3.6,3.6,3.5,2,3,4,4,3,4,2,3.5,4,5,5,5,2.5,3.5,3.6,3,3,3.5,3,5.5,5.25,4,5,6,6.5,3,6.5,5,5,4.5,6.5,5.5,5.5
Europe,Central & Eastern Europe,North Macedonia,5.03,4.87,5,6.5,4.5,4,3.5,3,6,5,6,5.5,5.5,6,4,3.5,5,5.2,3,6,6.5,5.5,5,5.29,5,5.5,6,5,4.5,6,6,5.5,4,4.5,5.5,6
Europe,Central & Eastern Europe,Slovakia,4.72,4.73,5,4.5,5,4,3.5,3,5,5.5,5,5.5,6,6.5,4,5.5,3,4.7,3,6,6.5,5,3,5.29,5,4.5,7,6.5,5,5,6,5,5,4.5,5,5
Oceania,Polynesia,Tonga,3.7,3.5,3.5,1,5.5,1,3.5,1,1.5,5,5,7.5,2,4.5,4.5,4,3,3.9,1,4.5,5.5,7,1.5,5.29,5,5.5,6.5,6.5,3.5,6,5,5,5,5,4,6.5
Africa,East Africa,Kenya,7.02,6.93,8,7.5,7.5,6,7,7,7.5,6,6.5,5.5,8,7.5,7,6,7,7.1,7,8,8,6.5,6,5.33,5,5,7.5,7,5,4.5,6,6,5.5,3,3,6.5
Europe,Central & Eastern Europe,Bulgaria,5.65,5.4,5,5.5,4.5,6,4.5,5,6,4.5,5.5,6.5,6,7,5,5,5,5.9,5,7,7.5,5,5,5.33,5,6,6,6,5,5,6,5.5,5,5,5,4.5
Americas,Caribbean & Central,Trinidad and Tobago,5.2,4.8,6.5,4.5,7,1,2.5,2,2.5,8,7,4,6,6.5,4.5,5,5,5.6,6,6.5,5,6.5,4,5.33,5,5,6.5,7,3.5,5.5,4.5,6.5,4,5.5,5,6
Oceania,Micronesia,Palau,2.7,2.9,3.5,2.5,1.5,1,7,1.5,2,3,2.5,4,2.5,2.5,4.5,4,1.5,2.5,1,4,2,4,1.5,5.33,7,6,7.5,5.5,5,5.5,4.5,5,4.5,2.5,5.5,5.5
Americas,Caribbean & Central,Cuba,3.37,3.63,5.5,5.5,1.5,3.5,3,4,2.5,4,5,3,3,3.5,5.5,3,2,3.1,3,2.5,3.5,2,4.5,5.38,6.5,2.5,6.5,6,3,7,8,5.5,5.5,4,7,3
Americas,Caribbean & Central,"St, Vincent and the Grenadines",3.08,2.67,2.5,1,4,1,2,1,1,7.5,7.5,1,3,2.5,2,3,1,3.5,2,5,2,5.5,3,5.38,6,6,6,6.5,6,4,6,5.5,4,3,5.5,6
Americas,Caribbean & Central,Jamaica,5.8,4.9,5,3,9,1.5,2,1,3,6.5,8.5,3,4.5,7,6.5,7,6,6.7,8,8,8,7,2.5,5.42,4.5,5,7,5.5,3.5,6,6.5,4.5,4.5,5,6.5,6.5
Asia,Southern Asia,India,5.75,6.7,8,6.5,6,6,7,7,7,3.5,7.5,7,7.5,7,7.5,6,7,4.8,3.5,6.5,6,3,5,5.42,4,5,8.5,5,4.5,5,8,6.5,5,4,5,4.5
Asia,Western Asia,Qatar,5.45,5.7,8,6.5,6.5,4,6.5,5,4.5,4.5,6.5,7,7,7.5,6,4,2,5.2,1,6,6.5,6,6.5,5.42,5,5.5,6,5,5,5,7,5.5,6,5.5,6,3.5
Asia,Western Asia,Bahrain,4.95,5.4,8,5.5,5,3.5,6,6.5,5,4,5.5,7,7,7,5.5,4,1.5,4.5,1.5,6,4,5,6,5.42,6,4.5,7,5.5,4.5,4.5,6.5,5.5,6,5.5,5.5,4
Oceania,Melanesia,Fiji,4.15,4.3,5,4,2,3.5,4.5,2.5,2.5,5,6,7,4,5.5,5,4.5,3.5,4,1,5,3,5.5,5.5,5.42,5.5,5,5.5,6,4,5,5,6,6,6,5.5,5.5
Africa,West Africa,Ghana,5.8,6,7,5.5,6,7,6.5,7.5,6,6.5,6,7,6,6,5,4.5,3.5,5.6,3,6.5,7.5,6.5,4.5,5.46,6,5.5,6.5,5,5,4.5,6,6,6.5,3.5,4,7
Africa,Southern Africa,Botswana,4.35,4.4,4.5,3.5,4,2.5,7.5,3.5,3.5,3.5,4.5,4,5,5.5,5,5.5,4,4.3,1,5.5,4,5.5,5.5,5.46,5,4,8.5,7,6,5,5,5,6,4.5,4.5,5
Americas,Caribbean & Central,Bahamas,3.75,3.6,5,5.5,5.5,1.5,4.5,2,4,7.5,4.5,3,2.5,3.5,2,1.5,1.5,3.9,4,3,3,6,3.5,5.5,6,5.5,6.5,6.5,3.5,6.5,5,5,4,7,5.5,5
Asia,Western Asia,Kuwait,5.2,5.7,8,6.5,6,5.5,6,6,5,4.5,6.5,7,6.5,7,6,3,2,4.7,1,6,6,4,6.5,5.54,5,4.5,6,5.5,5.5,6,5.5,5.5,6.5,5.5,5.5,5.5
Africa,Southern Africa,Mauritius,4.37,4.13,4.5,3.5,2.5,3.5,3,4,8,3.5,5.5,8,4,4.5,4,2,1.5,4.6,2,6.5,6,4.5,4,5.54,6,6,6.5,6,5.5,5.5,5.5,4,7,4,5,5.5
Africa,Central Africa,Rwanda,3.6,4,5,2.5,5,2.5,4,8.5,3,2.5,4,1.5,4.5,6,6,4,1,3.2,1,3,5,4,3,5.54,5.5,4.5,5,6,5,7,6.5,6,6.5,5.5,5.5,3.5
Asia,Western Asia,Jordan,4.93,4.87,6,5.5,6.5,3.5,3.5,2,3.5,3,6,7,5.5,6.5,5.5,5,4,5,1.5,7,6,4.5,6,5.58,5.5,4.5,8,6,4.5,6.5,6,6.5,4,4.5,6.5,4.5
Americas,Caribbean & Central,"St, Lucia",3.53,2.67,4,1.5,5,2,1,1,1,7.5,7,1,2,2.5,2,1.5,1,4.4,5,4,5,6,2,5.58,7.5,6.5,6.5,6.5,6,4.5,5.5,4,5,5,6,4
Americas,South America,Colombia,7.75,7.3,8,7.5,8,7,7,9,5,9.5,7,6,7,8,7.5,4.5,8.5,8.2,9.5,9.5,7.5,7.5,7,5.63,6,5.5,9,6.5,5.5,5,4.5,6,5,3.5,4.5,6.5
Africa,Southern Africa,South Africa,7.18,6.87,4.5,5,8,5,8,8,7.5,7,5,8.5,7,7.5,7,7,8,7.5,7.5,8,8,7.5,6.5,5.63,5.5,5.5,6,7,6,4.5,6,5.5,6,4,4.5,7
Americas,Caribbean & Central,Costa Rica,5.53,5.37,5,6,5,5,6,7,1,7.5,4.5,3.5,7,5.5,5.5,6,6,5.7,7,6,2.5,7,6,5.63,7,6.5,6.5,6.5,6,5,5,4,4.5,5,5,6.5
Europe,Southern Europe,Monaco,2.58,1.67,2,1,1.5,1,1,1.5,2,2,2.5,2,3,2.5,1,1,1,3.5,1,3,3.5,5.5,4.5,5.63,3.5,4.5,5.5,6.5,8,7,6,5.5,4,8,5,4
Asia,Eastern Asia,China,6.37,6.53,7,6.5,3,8.5,9,5,6.5,3.5,4.5,8,8.5,7.5,9.5,6,5,6.2,6.5,7.5,7,3,7,5.67,6,4,6,7.5,5,6,7.5,6.5,7.5,4,6,2
Asia,Central Asia and the Caucasus,Armenia,2.82,2.93,3,1.5,2,3.5,4,2.5,4.5,1.5,3.5,4,2.5,3,3.5,3.5,1.5,2.7,2.5,3,3,3,2,5.71,7,6,7,6.5,4.5,6.5,3,6,6,5,4.5,6.5
Africa,West Africa,Nigeria,7.28,7.37,7.5,6,8.5,6,7,8,6,7,8,8.5,8,7,8,7,8,7.2,5.5,8.5,7.5,7.5,7,5.79,5.5,5,7.5,7.5,5,5,5,5,6.5,5,5.5,7
Africa,West Africa,Senegal,5.52,5.53,5.5,5,5,7.5,7,4.5,3,7,7,3,5,5.5,7.5,6,4.5,5.5,3,6,5,6.5,7,5.79,5.5,5,7,6.5,5,6,7,5,5.5,5,5,7
Oceania,Micronesia,Marshall Islands,2.52,2.73,5,2,2,1,7.5,1,1.5,2,2.5,2.5,3,3.5,3,3.5,1,2.3,1,2.5,3,3,2,5.79,7,6.5,6,6.5,7,5.5,6,4.5,6.5,3.5,4,6.5
Oceania,Polynesia,Samoa,2.43,2.97,3.5,2,3,1.5,3,2,1,3.5,5.5,4,2.5,3.5,4.5,4,1,1.9,1,2.5,2.5,2.5,1,5.83,4.5,5.5,6,6.5,6,6.5,7.5,5.5,3,5.5,6.5,7
Europe,Central & Eastern Europe,Poland,4.48,4.97,5.5,6,4.5,2.5,5,5.5,4,5,5.5,7,5.5,6,4.5,5.5,2.5,4,2,6,4.5,3.5,4,5.88,5.5,4,7.5,7,5,6.5,7.5,6.5,6.5,5,5.5,4
Oceania,Micronesia,Micronesia (Federated States of),3,3,5,3,1.5,1.5,7,1,1,3.5,4,3.5,2,2.5,4,4,1.5,3,1,4.5,2.5,5.5,1.5,5.88,7,4,7,6,6.5,6.5,6,5,4.5,5.5,5.5,7
Asia,South-Eastern Asia,Malaysia,6.23,6.67,7.5,7.5,5.5,6.5,8,5.5,7,4,5,7.5,8,8,7.5,7,5.5,5.8,4.5,5.5,6,7,6,5.92,4.5,5.5,7,7.5,5.5,5.5,5.5,6,7,6,6.5,4.5
Europe,Central & Eastern Europe,Croatia,5.15,4.9,5,6.5,4.5,4.5,3.5,4.5,5,6.5,6,5.5,4.5,5.5,4,4,4,5.4,4,6.5,6,5,5.5,5.92,5.5,6,7,7,5.5,6,6.5,6.5,5,6,5.5,4.5
Americas,South America,Argentina,5,4.5,5,3.5,3.5,2,4,2.5,2,7,7.5,3,5.5,3.5,7,6.5,5,5.5,5,6,6,5.5,5,5.96,6.5,4.5,6,6,5.5,5.5,6,7,6,6,5,7.5
Europe,Central & Eastern Europe,Romania,4.58,5.27,6,5.5,5,6,4.5,4,5.5,5.5,5,5,6,6,5,6,4,3.9,3,5.5,3.5,4,3.5,6,6,6.5,7,6,6.5,6,6.5,5,5.5,6,6,5
Europe,Central & Eastern Europe,Slovenia,4.37,4.03,4,5.5,4,3,3,2.5,4,5.5,5,5,5,6,3,2,3,4.7,3,5,6.5,5,4,6.04,6,5,7,7,6,6,7.5,5,5,6,6,6
Asia,Western Asia,Israel,4.85,5,6,2.5,6.5,1.5,2,5.5,3,5.5,6.5,5.5,9,6.5,5,5,5,4.7,5.5,4,5,4,5,6.08,6,5,6.5,6.5,5,6.5,3.5,7,7.5,6.5,6.5,6.5
Oceania,Polynesia,Tuvalu,1.62,1.93,1.5,1,1,1,5,1,1,1.5,2.5,1.5,1.5,2.5,4,3,1,1.3,1,1,1.5,1.5,1.5,6.08,5.5,6,5,6.5,8,7,6.5,6.5,6,4.5,4.5,7
Americas,Caribbean & Central,Barbados,3.07,2.43,4,2,5,1,1.5,2,1,6,5,1,1.5,2,1.5,1,2,3.7,5,4.5,4,2.5,2.5,6.13,6,7.5,7.5,7,5,7,6.5,5,4.5,5.5,6,6
Americas,South America,Chile,5.18,5.07,6,5,6.5,4.5,5,3,2,7.5,7,5.5,5,4,6.5,4,4.5,5.3,4,6,5.5,6,5,6.17,7,7,8,6,5.5,4.5,4,6.5,6,6,6.5,7
Europe,Central & Eastern Europe,Czech Republic,4.68,4.87,5.5,5.5,5,3,5.5,3.5,4.5,5,6,6.5,5.5,6,4,4,3.5,4.5,3.5,4.5,5,4.5,5,6.42,6.5,6.5,7,7,6.5,7,7,6.5,6,5,6,6
Europe,Southern Europe,Italy,6.22,5.73,7,7.5,6,3,3.5,5.5,5,8,5.5,5,6,7,5.5,4,7.5,6.7,9,3.5,6.5,7.5,7,6.46,6.5,5,9,8,5.5,7.5,6,6,5,5.5,6,7.5
Europe,Southern Europe,Portugal,4.88,4.67,5.5,5,4,4,4,3.5,5,6,5.5,5,5.5,5,4.5,4,3.5,5.1,5,6,4.5,5.5,4.5,6.5,7,5,7.5,7,6,7,6,6.5,5.5,7,6,7.5
Africa,West Africa,Cabo Verde,4.28,3.97,4.5,2,3,2,4,1,4,7.5,5.5,4,4.5,4,4,4.5,5,4.6,3,4.5,4,7,4.5,6.58,7,7,8.5,7,7.5,6,7.5,5,6,4,6.5,7
Europe,Southern Europe,Spain,5.9,5.7,7,7,4,3.5,5,2.5,6.5,7.5,7.5,5.5,6,7,6,6.5,4,6.1,6,7,5,7.5,5,6.75,6.5,6,8.5,8,7,8,5.5,6.5,6,6.5,5.5,7
Europe,Western Europe,France,5.82,5.93,6,6.5,6,4,5.5,5,6,7,7,6,6.5,6.5,7,5.5,4.5,5.7,6,6.5,3.5,7,5.5,6.96,6.5,7,8.5,7.5,6.5,7,5.5,8,8,5,7,7
Europe,Western Europe,Switzerland,4.87,4.63,5,3.5,5.5,1.5,3,7,2.5,6,4.5,4,7,7.5,6,4,2.5,5.1,4.5,4,2,7.5,7.5,7.04,8.5,6,8,7,7,7.5,8.5,5,6,7,6,8
Europe,Western Europe,Belgium,4.43,5.17,5,6,6,3,3.5,4,4,8,6.5,7.5,6,6.5,5,4,2.5,3.7,3,5,2,5,3.5,7.04,7,7,8,7.5,6,7,6,7,7,7.5,7,7.5
Americas,North America,United States,5.67,5.83,6,5.5,7.5,2.5,5.5,4.5,6.5,7,4.5,8.5,8,7.5,6,5,3,5.5,5.5,6,4.5,5.5,6,7.13,6,6,9,6.5,6,8,6.5,6.5,8,7.5,7,8.5
Americas,North America,Canada,3.88,3.87,4,4,3.5,2,3,3,5,3.5,3,5.5,6.5,5,4,3.5,2.5,3.9,5,4,2,4.5,4,7.21,7.5,7,8,8,7,7,6,6,7.5,8.5,6,8
Europe,Northern Europe,Lithuania,3.9,3.8,4,3,3,1.5,3,2.5,4.5,5,4.5,4.5,5.5,6,3,5,2,4,4,4.5,4,4,3.5,7.29,7,7,8.5,7,8,7.5,8,6.5,7.5,7,6.5,7
Europe,Western Europe,Ireland,5.08,5.17,5,4.5,4,2,4,5.5,6,7,6,6,6,6,5,5,5.5,5,6.5,6,4,6.5,2,7.33,7,8,8,8,7,7,7.5,8,8,7,5.5,7
Asia,Eastern Asia,Japan,4.28,3.87,5,5,2.5,4,6,3,1.5,3,4.5,5,3.5,6,2,2,5,4.7,6,5.5,3,4.5,4.5,7.38,6,7.5,9,7.5,8,7.5,8.5,7.5,8,5.5,5.5,8
Oceania,Australia and New Zealand,Australia,4,4.3,3.5,2.5,3.5,3,4,2,3.5,6.5,3,7,7.5,7,2,5,4.5,3.7,4.5,5,2.5,4,2.5,7.38,7.5,8,9,8,8,8,7.5,7,7,6,6,6.5
Europe,Western Europe,Netherlands,4.97,5.23,5.5,5,6,4,4.5,4.5,4,7.5,5.5,8,7.5,5,5,4,2.5,4.7,4.5,6,3,6,4,7.46,7.5,8,8.5,7.5,7.5,7.5,6,6.5,6.5,8,8,8
Europe,Northern Europe,Sweden,4.7,4.6,5,6,6,2.5,3.5,2,3,5.5,5.5,6,6,6,4,3.5,4.5,4.8,5,6,2.5,6.5,4,7.46,6.5,8.5,8.5,7.5,7,6.5,8,8,7,6,7.5,8.5
Europe,Western Europe,Germany,5.33,5.47,6,7,6,2.5,4,3,4.5,7,6,6.5,6.5,7.5,5.5,4.5,5.5,5.2,5,6.5,2,7,5.5,7.5,6.5,7,8,8,8,7.5,8.5,6,7,8,8,7.5
Europe,Western Europe,Austria,4.13,4.17,4.5,6,5.5,2,2.5,2,4,4,4.5,5,5,5.5,4,3.5,4.5,4.1,1,4,4,6.5,5,7.5,7.5,6.5,7.5,8,8.5,8.5,7.5,6.5,7,8,7.5,7
Americas,South America,Uruguay,3.22,3.33,3,4,3,1,3.5,1,2,6,4,3.5,4,4,3.5,3.5,4,3.1,2.5,4.5,3,2.5,3,7.5,7.5,9,9,7,6,7,7,6.5,8,7.5,7,8.5
Europe,Western Europe,Luxembourg,2.85,2.9,3.5,2,2,1.5,1.5,1.5,3,3.5,2.5,3.5,4.5,6.5,3.5,2.5,2,2.8,1,2,2,5,4,7.5,8,6.5,9,8,7.5,7,8,5.5,7,7.5,8,8
Europe,Western Europe,United Kingdom,5.75,5.5,7,6,4.5,3,4,2.5,4.5,7,5.5,6,6.5,7.5,6.5,6,6,6,4.5,7,3.5,7.5,7.5,7.54,7.5,6.5,7.5,8,8,7.5,8.5,6.5,7.5,7,7.5,8.5
Europe,Northern Europe,Latvia,3.9,4.5,5,4.5,3.5,1.5,2,2,4.5,5.5,5.5,5.5,6,6.5,6,6,3.5,3.3,4,3.5,2,4.5,2.5,7.58,7,6.5,8.5,8.5,8,8,8.5,6,8,7.5,7.5,7
Asia,South-Eastern Asia,Singapore,3.47,3.93,5.5,2.5,2.5,2.5,4.5,2.5,4.5,3,3.5,5.5,6.5,6,5,3,2,3,3,4,1.5,4,2.5,7.83,7.5,7.5,9,8.5,9,9,8,7.5,8,7,9,4
Europe,Northern Europe,Estonia,4.25,4.2,4.5,3.5,2,2,2,3.5,3,4,6,7,7,7,4,5,2.5,4.3,3.5,4.5,2,5.5,6,7.88,8,7.5,8.5,8,8,7.5,8,8,7.5,7.5,8,8
Oceania,Australia and New Zealand,New Zealand,4.08,3.77,3.5,3.5,3,2,4,1.5,2.5,4.5,5,6,6,7,2,2,4,4.4,4,5.5,2,4.5,6,7.88,8,8,8.5,8,7.5,7.5,8.5,6.5,8,8,7.5,8.5
Europe,Northern Europe,Norway,3.75,4.1,5,3.5,4,2,4,3,5,5,4.5,4.5,5.5,5,2.5,5,3,3.4,4.5,4.5,1.5,4.5,2,7.92,8,8.5,9,8.5,8,8,8,7,8,7,7,8
Europe,Western Europe,Andorra,3.22,2.73,2.5,3,2.5,1,1,3,2,3.5,4.5,1.5,2,6.5,2,5,1,3.7,1,4,1.5,6,6,7.96,7,7.5,8.5,8.5,8,8.5,7.5,7,8,8.5,8.5,8
Asia,Eastern Asia,"Korea, Rep,",4.43,3.57,5.5,4,2.5,3.5,4,2,3.5,3.5,3,5,3.5,4,3.5,3,3,5.3,5.5,5,4.5,6.5,5,8.08,9,8,8.5,9,9,8,7.5,8,7,7,8,8
Europe,Northern Europe,Denmark,4.02,4.33,4,5,5,2,2,2,4.5,6,6,5,6.5,4.5,4,4,4.5,3.7,5.5,4.5,2,5,1.5,8.13,9,9,8,9,7.5,7.5,8,6,8.5,7.5,8.5,9
Europe,Northern Europe,Iceland,3.37,2.93,4.5,3.5,2,1,1.5,1,1.5,5,4.5,4.5,5,5,3,1,1,3.8,4.5,5,1.5,5,3,8.21,8,7.5,8.5,8.5,8.5,9,8.5,8,8.5,7.5,7.5,8.5
Europe,Western Europe,Liechtenstein,2.27,2.33,2,1.5,2,1.5,1.5,1.5,2,3,3.5,2,4,6.5,1,1,2,2.2,1,1.5,1.5,3,4,8.46,9,8,7.5,9,9,8.5,9.5,5,8.5,9.5,9.5,8.5
Europe,Northern Europe,Finland,2.98,3.27,3.5,3,3,1.5,2,2,3.5,4,4,5,5,4,3,3,2.5,2.7,3,3,1.5,3,3,8.63,9,9,9,8.5,8,8.5,9,8.5,9,8,8.5,8.5
