Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Americas,South America,Suriname,4.77,4.53,4,5,5.5,4.5,4,8.5,1.5,8.5,2,3,5,4.5,5,4,3,5,3,5,7.5,5.5,4,3.04,3,2,4.5,3.5,3,3,2,2,2,3,5,3.5
Asia,Western Asia,Iran,7.03,7.37,8,8.5,9,4.5,4,9.5,9,5.5,6,9.5,8,9,7.5,8,4.5,6.7,5,7.5,9.5,6,5.5,3.13,2.5,2,4,4,3,3,5,2.5,2.5,3.5,3,2.5
Africa,Southern Africa,Zimbabwe,5.47,5.03,5.5,3.5,4.5,4.5,7,8.5,4,3.5,6,5.5,4.5,5.5,4,6.5,2.5,5.9,3.5,7.5,8,6,4.5,3.13,2,3,3.5,3.5,2.5,3,4.5,4,3,2,3.5,3
Africa,West Africa,Guinea,4.58,4.77,7,4,5.5,5,6.5,7,2.5,7,4.5,4.5,2,5.5,5,4.5,1,4.4,1,6,7.5,6.5,1,3.13,2.5,3.5,3.5,4,3.5,3.5,3.5,3,3,2,2,3.5
Africa,North Africa,Mauritania,4.38,4.27,7.5,6.5,3.5,1,4,3.5,1.5,4.5,7,3,1.5,6,6,6,2.5,4.5,1.5,5,6.5,6,3.5,3.13,4,3.5,3.5,3.5,2.5,2.5,4,4.5,3,1.5,2,3
Africa,Central Africa,Cameroon,6.27,6.23,6.5,5.5,7.5,7.5,7.5,7.5,4.5,3.5,7,7,5,6,7.5,5,6,6.3,4.5,7.5,8,7,4.5,3.17,2,1.5,5.5,4.5,2.5,4,2,3.5,2.5,2.5,2.5,5
Asia,Western Asia,Iraq,7.13,6.27,7.5,8.5,9,1.5,4,9,6,5,5.5,7,2,9,6.5,6.5,7,8,6.5,8.5,8.5,9,7.5,3.21,3.5,2.5,4,3.5,3.5,3.5,2.5,4,3,2.5,3,3
Americas,Caribbean & Central,El Salvador,5.92,5.43,7,7,7,5,5.5,1.5,1.5,7.5,7,2.5,5.5,6.5,5,5.5,7.5,6.4,8.5,7,7.5,4.5,4.5,3.21,2,2,4.5,4,2,3,5.5,3.5,2,3.5,4,2.5
Europe,Central & Eastern Europe,Belarus,5.87,5.33,7,7.5,7.5,3.5,2.5,5,4,2.5,4,5,7,8,6.5,6,4,6.4,4,5,9,6.5,7.5,3.25,3,2,3,4,2,3,4,4.5,4,3,4.5,2
Africa,West Africa,Liberia,5.5,5.4,6,3,5,6,6,7,5,6.5,6,3.5,4.5,7.5,6.5,4.5,4,5.6,3,6.5,6.5,6,6,3.25,3.5,3,3.5,4,3.5,4,3.5,3.5,3,1.5,2,4
